,,AVGCA RADIO CALL SIGN - EPIRB HEX NO & MMSI NO DATA BASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ACMA ,Type of,ACMA,ACMA,CG,New,,,Licence,,DSC VHF,Station Aerials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,Location,Call Sign,Station,Licence,SITE ID,DOM,DOM,EPIRB,HEX No,Expire,MMSI No,Operative,Checked,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF10 ,Werribee,VMR 370,LCMR,348649,47799,1307312,1965227,,,22-Feb-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG10 ,,VK 3710,SSCBNA,348630,,,,603255,BEEE6    4D1DC   00259,22-Feb-12,503003640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG210,,VKV 7227,SSCBNA,1915956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG10 ,Life Jacket EPIRB,PLB-1,,,,,,0140502389M,3EF705ABF81FE0,J0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG10 ,Life Jacket EPIRB,PLB-2,,,,,,0140502390M,3EF705A63F81FE0,J125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG10 ,Life Jacket EPIRB,PLB-3,,,,,,0140502391M,3EF705A6BF81FE0,J124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG10 ,Life Jacket EPIRB,PLB-4,,,,,,0140502392M,3EF705A73F81FE0,J128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG10 ,Life Jacket EPIRB,PLB-5,,,,,,0140502393M,3EF705A7BF81FE0,J184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG10 ,Life Jacket EPIRB,PLB-6,,,,,,0140502394M,3EF705A83F81FE0,J36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF11,Lake Hume,VMR 222,LCMR,1193044,141456,NO,1965228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG11,,VKV 7079,SSCBNA,1191686,,,,603256,BEEE6    4D1E0   00259,22-Feb-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG211,,VKV 7080,SSCBNA,1191687,,,,603261,BEEE6    4D1F4   00259,22-Feb-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG11,Life Jacket EPIRB,PLB-1,,,,,,0140502395M,3EF705A8BF81FE0,J118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG11,Life Jacket EPIRB,PLB-2,,,,,,0140502396M,3EF705A93F81FE0,J129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG11,Life Jacket EPIRB,PLB-3,,,,,,0140502397M,3EF705A9BF81FE0,J185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG11,Life Jacket EPIRB,PLB-4,,,,,,0140502398M,3EF705AA3F81FE0,J035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG11,Life Jacket EPIRB,PLB-5,,,,,,0140502399M,3EF705AABF81FE0,J127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
